[20-Feb-2026 08:39:18 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 485
[20-Feb-2026 08:39:26 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/VentasController.php on line 212
[20-Feb-2026 09:09:07 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 485
[21-Feb-2026 10:17:01 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 485
[21-Feb-2026 10:17:04 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 485
[21-Feb-2026 11:29:18 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/VentasController.php on line 212
[21-Feb-2026 15:40:26 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[21-Feb-2026 15:40:26 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[22-Feb-2026 09:29:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[22-Feb-2026 09:29:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[25-Feb-2026 10:55:59 America/Lima] PHP Notice:  Undefined index: dir_cli in /var/www/html/factura_santodomingo/app/http/controllers/CotizacionesController.php on line 153
[25-Feb-2026 07:57:47 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[25-Feb-2026 08:00:22 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[25-Feb-2026 09:20:20 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[25-Feb-2026 09:23:23 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[25-Feb-2026 09:23:33 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[25-Feb-2026 12:25:13 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[25-Feb-2026 12:25:13 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ProductosController.php on line 718
[25-Feb-2026 16:19:27 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[25-Feb-2026 16:19:27 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[25-Feb-2026 16:19:27 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[25-Feb-2026 16:19:27 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
